time,dongsi,tiantan,guanyuan,wanshou,aoti,nongzhan,wanliu,beibu,zhiwu,fengtai,yungang,gucheng,fangshan,daxing,yizhuang,tongzhou,shunyi,changping,mentou,pinggu,huairou,miyun,yanqing,dingling,bada,miyunshuiku,donggao,yongle,yushu,liuli,qianmen,yongding,xizhi,nansi,dongsihuan
20161,69.35349462365592,71.58803763440861,67.23521505376344,75.34006518453684,67.65997350389556,70.11559139784946,67.05779569892474,81.39784946236558,51.88576940033765,84.12836021505376,80.00704061755674,76.36088709677419,107.7741935483871,109.77083333333333,93.30174731182795,79.56787634408602,70.51545698924731,54.682123655913976,64.54912698882872,87.4502688172043,58.55174731182796,55.836021505376344,56.73790322580645,53.53042950517875,35.36686351273651,37.869623655913976,70.64650537634408,115.97778635771569,122.21268590547032,181.2420620449949,75.29704301075269,82.17674731182795,76.19824129320585,85.51478494623656,77.3111559139785
20162,44.304315476190474,45.90252976190476,42.09375,49.75297619047619,45.944940476190474,44.375,44.442708333333336,44.95684523809524,32.96875,56.10863095238095,43.03199404761905,44.92857142857143,72.12718269534182,72.58630952380952,56.84077380952381,52.37202380952381,50.648065476190474,39.42559523809524,38.84449404761905,54.187710817538836,39.913671491633416,38.135416666666664,40.089285714285715,36.32217261904762,25.953869047619047,24.433779761904763,41.264136904761905,70.18452380952381,86.6402837005159,119.2429632094994,48.41517857142857,56.69464229007438,51.510263821165694,55.33407738095238,45.68452380952381
20163,100.46472941850512,91.79094827586206,96.20761494252874,96.48132183908046,103.21170240987227,95.21408045977012,96.2794540229885,102.46551724137932,87.11160647767645,104.97593455995998,100.80825671677025,99.70330459770115,92.58953228590768,102.46336206896552,101.3735632183908,99.67528735632185,98.89224137931035,74.05459770114942,85.78663793103448,89.4375,84.14439655172414,82.59996739423109,91.91163793103448,83.89152298850574,61.27048890424176,70.3235632183908,83.69037356321839,105.1257708693538,129.82888483661614,112.85129310344827,96.61135057471265,98.54454022988506,105.59238310906848,100.11494252873563,99.25287356321839
20164,79.4621913580247,66.42992444513649,74.7263408228354,68.65808018013337,69.74272073229392,74.9587930226044,63.00848765432099,75.62539311943776,64.47604969435017,68.61704564743177,65.89506172839506,73.2449616294964,74.7521220328608,82.835135132564,82.51895364045161,71.91586340651135,77.54112598888167,57.18981481481482,55.19135802469136,61.693845164888835,59.36018076566971,64.67165246674121,59.992283950617285,62.545524691358025,53.67515432098765,55.477673650503775,60.387274691065905,68.53387893756977,76.48864993938952,62.6820987654321,74.60033796898452,71.89814814814815,74.09027777777777,84.03214481112721,75.79778823452182
20165,64.91759905262118,50.0323275862069,58.27433578504981,56.0926724137931,54.285919540229884,55.4248689895001,53.695837915441636,66.65594906240203,51.63732506830934,58.98937145430522,62.658767999690205,60.81935383883237,58.179597701149426,64.29110988033601,57.36997126436781,49.420257570514856,52.21515626530859,52.531752873563214,56.18873989781884,50.1504809103298,49.11853448275862,52.24036249030489,56.40184908951929,53.1632479783719,57.65547252749347,41.088380297539956,46.34680875015946,66.79145431115214,63.23994252873563,51.876293103448276,65.67411289543688,58.43612135933144,62.64749983653023,68.194029801334,61.56256404017983
20166,58.46012011733699,59.31937438300441,61.945216049382715,60.84928749641763,53.498456790123456,58.004629629629626,54.57886048545322,62.50953636478739,53.18993535256605,68.7067413106538,58.05561453620713,60.89419002455812,62.107831909404,60.343262289853556,60.00385802469136,66.22301757218246,52.661265432098766,49.710835976319586,47.567400061488094,51.38425925925926,43.6304012345679,48.00159311481768,44.67656402595771,45.214506172839506,47.50539631711272,36.67791290488057,52.198178590141346,70.32937830537723,72.03790879442849,54.31318825676286,59.99497400089207,61.76311728395062,59.78701401701915,67.9406402930869,61.442712816818656
20167,74.24844994646348,67.90046296296296,74.67043901047124,71.07132252251665,69.14553133252228,67.95138888888889,67.30092592592592,67.7585576926982,62.34550779973982,64.10484647398599,69.31999152179776,68.15123456790124,65.76449207606383,64.79166666666667,66.73070987654322,70.01348725881124,62.09119433253068,53.82175925925926,52.761651974828034,56.969907407407405,57.07561728395062,57.41358024691358,59.07253086419753,55.96234511226167,65.91921789798408,48.7618491836669,55.145833333333336,77.96175778285645,64.63443800681709,62.36762807899872,69.06944444444444,73.69444444444444,71.08873456790124,77.04475308641975,68.32779953879711
20168,49.46401515151515,46.42045454545455,47.51325757575758,48.57575757575758,45.08712121212121,47.43844696969697,44.483901515151516,49.919187138948246,44.78939932536354,44.18939393939394,45.578598484848484,48.57102272727273,45.94007022863383,47.22632575757576,49.915719696969695,48.20738636363637,45.09185606060606,36.864583333333336,42.395833333333336,43.15163981910018,40.69981060606061,35.22953799285126,42.25748018019957,37.484848484848484,54.63634381793177,31.671401515151516,38.81816671439267,57.25811093141281,47.52935606060606,43.89828677571936,50.15340909090909,52.097537878787875,49.791666666666664,56.109848484848484,48.645833333333336
20169,57.14327919989441,53.38301282051282,53.919871794871796,55.842948717948715,52.08253205128205,56.20978977033985,50.06570512820513,50.0088141025641,40.087963545836615,54.15625,53.068910256410255,56.11377774123765,49.8621962309688,58.61132487339103,59.166666666666664,57.7588141025641,49.222586643242,42.826121794871796,50.55020356857977,43.83253205128205,42.378118237347806,39.881410256410255,41.87980769230769,41.568877357308345,49.561236029150194,35.19575360488852,40.87594420926957,68.12051875921273,53.36538461538461,55.30849358974359,57.28445512820513,58.83253205128205,56.87980769230769,65.81242857468439,58.11057692307692
201610,97.81209032914236,83.50617283950618,90.78105773578604,87.16898148148148,88.81327160493827,90.01697530864197,85.96373456790124,79.54829215421333,65.26841747493678,98.28635484890158,89.03086419753086,97.42206790123457,85.8858024691358,83.26726225606723,93.3468037698295,88.1520061728395,85.78300594901197,81.87885802469135,77.29706790123457,76.06481481481481,81.22453703703704,79.4753086419753,76.86430587174588,76.90550498829019,49.591944428681714,67.72464256312703,67.42978395061728,92.67549051603886,76.23688271604938,98.71631845665401,92.9048484307001,92.18291313863844,97.11188271604938,101.32188592264475,93.85262345679013
201611,110.02586206896552,101.09240749605598,108.65670812240998,108.04597701149426,101.97270114942529,106.81487790446089,100.71408045977012,100.13048531516374,79.38592593613122,116.84423103760412,107.78807471264368,106.86619291929213,115.36628089189108,121.8684421698542,107.02200689023257,109.09267241379311,95.70258620689656,86.97485632183908,85.71193562547195,93.34698275862068,84.36422413793103,85.08764367816092,72.89295977011494,76.49683855279535,49.591944428681856,75.35632183908046,98.30535453412102,132.69683908045977,144.4992816091954,143.51717115660315,112.6378572277523,111.55316091954023,105.87189154396135,116.93765842512536,115.89870689655173
201612,140.955,134.4075,135.68416666666667,148.94666666666666,125.89583333333333,136.62666666666667,119.73046304780415,116.4828893601065,97.31798517410851,153.12416666666667,138.85666666666665,127.74416666666667,159.94166666666666,179.02103826299333,135.50333333333333,143.87139835464677,115.14416666666666,105.75416666666666,100.35583333333334,119.11801944474661,89.00333333333333,92.31916666666666,81.23666666666666,87.85499755163711,55.14777731405296,64.12669574832098,146.71154988600483,201.1030821533631,196.4715147929666,215.2190600979205,146.69666666666666,150.02243676270774,136.325,158.14416666666668,147.25720154399426
20171,113.50260416666667,110.48345410156668,93.97815917520796,119.96158996494849,101.39322916666667,110.22537783573635,102.0576471939602,96.18229166666667,86.27170055615107,128.04600694444446,127.76949534162028,113.95833333333333,142.94766381927286,139.45486111111111,123.68143379666299,130.19791666666666,105.84461805555556,84.22698448735484,103.90972222222223,122.91366319633295,76.19963062912787,79.00347222222223,64.3046875,69.96215214018328,52.87152777777778,54.962673611111114,92.29940948473228,136.9453125,145.86892361111111,166.58085145149764,117.99446531363785,123.5832605160611,109.23350459012444,126.64409722222223,113.54855054826314
20172,84.08679734324352,83.08903535177869,82.0823788823276,89.77893304879257,77.10889895549587,86.0405701754386,77.95836830205461,74.9155701754386,67.32857585219406,91.72368421052632,83.93530701754386,79.75657894736842,98.77412280701755,94.93357884159387,108.44407894736842,104.11842105263158,76.2719298245614,62.30921052631579,74.16666666666667,96.49561403508773,61.79824561403509,64.72149122807018,68.81377372711697,56.67982456140351,52.343759136908375,53.89696113814302,84.26576565411749,125.32236842105263,123.02047635364049,144.44835149472024,87.56798245614036,89.54188421707005,86.34978070175438,88.92951092540365,88.76973684210526
20173,74.38888888888889,69.5324074074074,70.06597222222223,75.27859176229353,71.80733356749576,70.96412037037037,70.97408145635967,85.15405100889845,66.76041666666667,77.15162037037037,86.7407584373659,77.69328703703704,74.80555555555556,71.60069444444444,79.03472222222223,78.58333333333333,67.29398148148148,69.48726851851852,78.3615167588988,69.13310185185185,65.43402777777777,63.897541807459035,70.35456065947068,66.53657322394808,64.84837962962963,61.32329839504797,63.460022989821525,79.54507650495479,87.74693024525048,89.72222222222223,73.22222222222223,74.87152777777777,74.78972195885424,77.96875,74.95370370370371
